scenario,orchard_id,block_id,row_id,tree_id,tree_global_id,mission_id,flight_id,orthomosaic_id,total_images,total_detected_fruits,young_count,green_count,half_count,red_count,expected_harvestable_fruit_count,current_harvest_ready_fruit_count,expected_marketable_future_production_kg_before_disease_loss,future_production_disease_loss_kg,disease_adjusted_marketable_future_production_kg,current_harvest_ready_estimated_kg_before_disease_loss,current_harvest_ready_disease_loss_kg,disease_adjusted_current_harvest_ready_kg,avg_composite_disease_index,disease_loss_factor,disease_loss_pct,avg_detection_confidence,visible_stress_score,canopy_gap_pct,tree_latitude,tree_longitude,tree_centroid_latitude,tree_centroid_longitude,orthomosaic_pixel_x,orthomosaic_pixel_y,local_x_m,local_y_m,gps_match_distance_m,gps_match_status,gps_source,mapping_method,is_simulated_gps
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T011,O01_B01_R01_T011,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,3,0,0,3,0,2.7600000000000002,2.7600000000000002,0.04612822500000001,0.018451290000000006,0.027676935000000003,0.05426850000000001,0.021707400000000005,0.03256110000000001,94.36368057015835,0.4,40.0,0.922596295674642,5.0,25.347900390625,26.7,88.4005027646882,26.7,88.4005027646882,1000,0,50,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T012,O01_B01_R01_T012,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,2,0,0,2,0,1.84,1.84,0.030752150000000006,0.012300860000000004,0.018451290000000002,0.03617900000000001,0.014471600000000005,0.021707400000000005,93.91078061106674,0.4,40.0,0.9590961635112762,5.0,25.161865234375004,26.7,88.40055304115702,26.7,88.40055304115702,1100,0,55,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T013,O01_B01_R01_T013,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,2,0,0,2,0,1.84,1.84,0.030752150000000006,0.012300860000000004,0.018451290000000002,0.03617900000000001,0.014471600000000005,0.021707400000000005,80.34096586293606,0.4,40.0,0.8895355463027954,5.0,25.2080078125,26.7,88.40060331762584,26.7,88.40060331762584,1200,0,60,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T014,O01_B01_R01_T014,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,0,1,0,0.92,0.92,0.015376075000000003,0.006150430000000002,0.009225645000000001,0.018089500000000005,0.007235800000000002,0.010853700000000003,93.82445141065831,0.4,40.0,0.9488649964332581,5.0,25.17138671875,26.7,88.40065359409466,26.7,88.40065359409466,1300,0,65,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T015,O01_B01_R01_T015,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,0,1,0,0.92,0.92,0.015376075000000003,0.006150430000000002,0.009225645000000001,0.018089500000000005,0.007235800000000002,0.010853700000000003,86.63437796771129,0.4,40.0,0.9592633247375488,5.0,25.2880859375,26.7,88.40070387056348,26.7,88.40070387056348,1400,0,70,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T016,O01_B01_R01_T016,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,0,1,0,0.92,0.92,0.015376075000000003,0.006150430000000002,0.009225645000000001,0.018089500000000005,0.007235800000000002,0.010853700000000003,90.50129198966408,0.4,40.0,0.9523636698722839,5.0,25.23876953125,26.7,88.4007541470323,26.7,88.4007541470323,1500,0,75,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T017,O01_B01_R01_T017,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,4,0,0,4,0,3.68,3.68,0.06150430000000001,0.024601720000000007,0.036902580000000004,0.07235800000000002,0.02894320000000001,0.04341480000000001,87.24182290915672,0.4,40.0,0.8226153329014778,5.0,25.156250000000004,26.7,88.40080442350111,26.7,88.40080442350111,1600,0,80,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T018,O01_B01_R01_T018,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,4,0,3,1,0,3.38,0.92,0.0564903625,0.022596145,0.033894217500000004,0.018089500000000005,0.007235800000000002,0.010853700000000003,90.25954523620221,0.4,40.0,0.7529631704092026,5.0,25.255615234375,26.7,88.40085469996994,26.7,88.40085469996994,1700,0,85,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T019,O01_B01_R01_T019,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,1,0,0,0.82,0.0,0.013704762500000004,0.005481905000000002,0.008222857500000002,0.0,0.0,0.0,87.05460378131185,0.4,40.0,0.9101192951202393,5.0,25.350830078124996,26.7,88.40090497643875,26.7,88.40090497643875,1800,0,90,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T020,O01_B01_R01_T020,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,3,0,0,3,0,2.7600000000000002,2.7600000000000002,0.04612822500000001,0.018451290000000006,0.027676935000000003,0.05426850000000001,0.021707400000000005,0.03256110000000001,78.24428853223043,0.4,40.0,0.8354074557622274,5.0,25.65234375,26.7,88.40095525290758,26.7,88.40095525290758,1900,0,95,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T021,O01_B01_R01_T021,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,6,0,0,6,0,5.5200000000000005,5.5200000000000005,0.09225645000000002,0.03690258000000001,0.055353870000000006,0.10853700000000002,0.04341480000000001,0.06512220000000002,87.07881345971708,0.4,40.0,0.651761919260025,5.0,25.156250000000004,26.7,88.40100552937639,26.7,88.40100552937639,2000,0,100,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T022,O01_B01_R01_T022,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,1,0,0,0.82,0.0,0.013704762500000004,0.005481905000000002,0.008222857500000002,0.0,0.0,0.0,82.56237301909793,0.4,40.0,0.8081510066986084,5.0,25.156250000000004,26.7,88.40105580584522,26.7,88.40105580584522,2100,0,105,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T001,O01_B01_R02_T001,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,5,0,1,4,0,4.5,3.68,0.07520906249999999,0.030083625,0.04512543749999999,0.07235800000000002,0.02894320000000001,0.04341480000000001,86.46913847834489,0.4,40.0,0.6803409934043885,5.0,25.156250000000004,26.700071864894,88.4,26.700071864894,88.4,0,160,0,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T002,O01_B01_R02_T002,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,3,0,1,2,0,2.66,1.84,0.04445691250000001,0.017782765000000002,0.026674147500000005,0.03617900000000001,0.014471600000000005,0.021707400000000005,90.32260339014614,0.4,40.0,0.6413419047991434,5.0,25.1572265625,26.700071864894,88.40005027646883,26.700071864894,88.40005027646883,100,160,5,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T003,O01_B01_R02_T003,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,7,0,6,1,0,5.84,0.92,0.09760465000000002,0.03904186000000001,0.05856279,0.018089500000000005,0.007235800000000002,0.010853700000000003,72.288166013424,0.4,40.0,0.8672576887266976,5.0,25.16357421875,26.700071864894,88.40010055293764,26.700071864894,88.40010055293764,200,160,10,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T004,O01_B01_R02_T004,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,6,0,6,0,0,4.92,0.0,0.082228575,0.03289143,0.049337145,0.0,0.0,0.0,64.80250634291578,0.4,40.0,0.8267281899849573,5.0,25.156250000000004,26.700071864894,88.40015082940647,26.700071864894,88.40015082940647,300,160,15,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T005,O01_B01_R02_T005,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,6,0,6,0,0,4.92,0.0,0.082228575,0.03289143,0.049337145,0.0,0.0,0.0,73.70146328080408,0.4,40.0,0.8815275331338247,5.0,25.156250000000004,26.700071864894,88.40020110587528,26.700071864894,88.40020110587528,400,160,20,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T006,O01_B01_R02_T006,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,15,0,14,1,0,12.399999999999999,0.92,0.20724275,0.0828971,0.12434565,0.018089500000000005,0.007235800000000002,0.010853700000000003,67.88082647362499,0.4,40.0,0.6266612748305003,5.0,25.156250000000004,26.700071864894,88.40025138234411,26.700071864894,88.40025138234411,500,160,25,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T007,O01_B01_R02_T007,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,8,0,7,1,0,6.659999999999999,0.92,0.1113094125,0.044523765,0.06678564749999999,0.018089500000000005,0.007235800000000002,0.010853700000000003,73.94540348034816,0.4,40.0,0.8384510353207588,5.0,25.15966796875,26.700071864894,88.40030165881292,26.700071864894,88.40030165881292,600,160,30,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T008,O01_B01_R02_T008,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,8,0,7,1,0,6.659999999999999,0.92,0.1113094125,0.044523765,0.06678564749999999,0.018089500000000005,0.007235800000000002,0.010853700000000003,67.05178420934632,0.4,40.0,0.6764058768749237,5.0,25.946044921875,26.700071864894,88.40035193528175,26.700071864894,88.40035193528175,700,160,35,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T009,O01_B01_R02_T009,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,3,0,1,2,0,2.66,1.84,0.04445691250000001,0.017782765000000002,0.026674147500000005,0.03617900000000001,0.014471600000000005,0.021707400000000005,81.94516217584399,0.4,40.0,0.6834569076697031,5.0,25.858642578125,26.700071864894,88.40040221175056,26.700071864894,88.40040221175056,800,160,40,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T010,O01_B01_R02_T010,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,7,0,4,3,0,6.04,2.7600000000000002,0.100947275,0.040378910000000004,0.060568365,0.05426850000000001,0.021707400000000005,0.03256110000000001,62.353623760251175,0.4,40.0,0.7108891691480365,5.0,25.801513671875,26.700071864894,88.40045248821939,26.700071864894,88.40045248821939,900,160,45,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T011,O01_B01_R02_T011,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,14,0,7,7,0,12.18,6.44,0.20356586250000003,0.08142634500000001,0.12213951750000002,0.12662650000000003,0.05065060000000002,0.07597590000000001,75.50797339010546,0.4,40.0,0.6393365093639919,5.0,25.169189453125,26.700071864894,88.4005027646882,26.700071864894,88.4005027646882,1000,160,50,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T012,O01_B01_R02_T012,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,9,0,3,6,0,7.98,5.5200000000000005,0.1333707375,0.053348295000000004,0.0800224425,0.10853700000000002,0.04341480000000001,0.06512220000000002,80.20769951916441,0.4,40.0,0.6754637261231741,5.0,25.437255859375004,26.700071864894,88.40055304115702,26.700071864894,88.40055304115702,1100,160,55,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T013,O01_B01_R02_T013,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,2,0,0,2,0,1.84,1.84,0.030752150000000006,0.012300860000000004,0.018451290000000002,0.03617900000000001,0.014471600000000005,0.021707400000000005,84.19379501311231,0.4,40.0,0.8807650804519653,5.0,25.659912109375,26.700071864894,88.40060331762584,26.700071864894,88.40060331762584,1200,160,60,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T014,O01_B01_R02_T014,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,10,0,7,3,0,8.5,2.7600000000000002,0.14206156250000002,0.05682462500000001,0.0852369375,0.05426850000000001,0.021707400000000005,0.03256110000000001,82.22423750837484,0.4,40.0,0.7395411461591721,5.0,25.213134765625,26.700071864894,88.40065359409466,26.700071864894,88.40065359409466,1300,160,65,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T015,O01_B01_R02_T015,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,12,0,10,2,0,10.04,1.84,0.14714749500000002,0.05885899800000001,0.08828849700000001,0.0317262,0.012690480000000002,0.01903572,77.77114686772681,0.4,40.0,0.5252320095896721,5.0,25.224609375,26.700071864894,88.40070387056348,26.700071864894,88.40070387056348,1400,160,70,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T016,O01_B01_R02_T016,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,16,0,9,7,0,13.82,6.44,0.2025476475,0.081019059,0.1215285885,0.11104170000000003,0.044416680000000014,0.06662502000000002,78.05144692858273,0.4,40.0,0.5919617954641581,5.0,25.220947265625,26.700071864894,88.4007541470323,26.700071864894,88.4007541470323,1500,160,75,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T017,O01_B01_R02_T017,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,7,0,7,0,0,5.739999999999999,0.0,0.0959333375,0.038373335,0.05756000249999999,0.0,0.0,0.0,64.23338453039081,0.4,40.0,0.7714064632143293,5.0,31.2998046875,26.700071864894,88.40080442350111,26.700071864894,88.40080442350111,1600,160,80,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T018,O01_B01_R02_T018,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,2,0,2,0,0,1.64,0.0,0.027409525000000007,0.010963810000000004,0.016445715000000003,0.0,0.0,0.0,74.07756276218313,0.4,40.0,0.9158990383148193,5.0,25.172119140625,26.700071864894,88.40085469996994,26.700071864894,88.40085469996994,1700,160,85,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T019,O01_B01_R02_T019,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,6,0,0,6,0,5.5200000000000005,5.5200000000000005,0.09225645000000002,0.03690258000000001,0.055353870000000006,0.10853700000000002,0.04341480000000001,0.06512220000000002,75.49661894045444,0.4,40.0,0.9154744148254395,5.0,25.156250000000004,26.700071864894,88.40090497643875,26.700071864894,88.40090497643875,1800,160,90,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T020,O01_B01_R02_T020,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,5,0,4,1,0,4.2,0.92,0.070195125,0.02807805,0.042117075,0.018089500000000005,0.007235800000000002,0.010853700000000003,92.8166139009764,0.4,40.0,0.7856142401695252,5.0,25.222167968749996,26.700071864894,88.40095525290758,26.700071864894,88.40095525290758,1900,160,95,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T021,O01_B01_R02_T021,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,13,0,4,9,0,11.56,8.280000000000001,0.19320372500000005,0.07728149000000002,0.11592223500000003,0.16280550000000002,0.0651222,0.09768330000000001,79.08322000757127,0.4,40.0,0.6552025675773621,5.0,25.159912109375,26.700071864894,88.40100552937639,26.700071864894,88.40100552937639,2000,160,100,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_02,O01_B01_R02_T022,O01_B01_R02_T022,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,15,0,7,8,0,13.1,7.36,0.21894193750000002,0.08757677500000001,0.13136516250000002,0.14471600000000004,0.05788640000000002,0.08682960000000002,70.8824289852828,0.4,40.0,0.6888237059116363,5.0,25.88427734375,26.700071864894,88.40105580584522,26.700071864894,88.40105580584522,2100,160,105,8,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_03,O01_B01_R03_T001,O01_B01_R03_T001,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,13,0,9,4,0,11.06,3.68,0.16209674250000003,0.06483869700000001,0.09725804550000001,0.0634524,0.025380960000000004,0.03807144,75.27120815797865,0.4,40.0,0.5519226124653449,5.0,25.248291015625,26.700143729788,88.4,26.700143729788,88.4,0,320,0,16,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
